broken_ref,category,new_location,bundle_count,affected_bundles
"AgentQMS/standards/tier1-sst/artifact-types.yaml",C,"RESTORE_FROM_STANDARDS_DB",2,"compliance-check.yaml;documentation-update.yaml"
"AgentQMS/standards/tier1-sst/file-placement-rules.yaml",C,"RESTORE_FROM_ARCHIVE",2,"compliance-check.yaml;documentation-update.yaml"
"AgentQMS/standards/tier2-framework/agent-infra/ollama-models.yaml",C,"RESTORE_FROM_ARCHIVE",1,"agent-configuration.yaml"
"AgentQMS/standards/tier2-framework/api-contracts.yaml",C,"RESTORE_FROM_ARCHIVE",1,"security-review.yaml"
"AgentQMS/standards/tier2-framework/configuration-standards.yaml",C,"RESTORE_FROM_ARCHIVE",3,"compliance-check.yaml;hydra-configuration.yaml;pipeline-development.yaml"
"AgentQMS/standards/tier2-framework/hydra-configuration-architecture.yaml",C,"RESTORE_FROM_ARCHIVE",1,"ocr-experiment.yaml"
"AgentQMS/standards/tier2-framework/ocr-components/coordinate-transforms.yaml",C,"RESTORE_FROM_ARCHIVE",1,"pipeline-development.yaml"
"AgentQMS/standards/tier2-framework/ocr-components/image-loading.yaml",C,"RESTORE_FROM_ARCHIVE",1,"pipeline-development.yaml"
"AgentQMS/standards/tier2-framework/ocr-components/model-management.yaml",C,"RESTORE_FROM_ARCHIVE",1,"pipeline-development.yaml"
"AgentQMS/standards/tier2-framework/ocr-components/orchestration-flow.yaml",C,"RESTORE_FROM_ARCHIVE",1,"pipeline-development.yaml"
"AgentQMS/standards/tier2-framework/ocr-components/pipeline-contracts.yaml",C,"RESTORE_FROM_ARCHIVE",1,"pipeline-development.yaml"
"AgentQMS/standards/tier2-framework/ocr-components/postprocessing-logic.yaml",C,"RESTORE_FROM_ARCHIVE",1,"pipeline-development.yaml"
"AgentQMS/standards/tier2-framework/ocr-components/preprocessing-logic.yaml",C,"RESTORE_FROM_ARCHIVE",1,"pipeline-development.yaml"
"AgentQMS/standards/tier3-agents/claude/config.yaml",C,"RESTORE_FROM_STANDARDS_DB",1,"agent-configuration.yaml"
"AgentQMS/standards/tier3-agents/copilot/config.yaml",C,"RESTORE_FROM_STANDARDS_DB",1,"agent-configuration.yaml"
"AgentQMS/standards/tier3-agents/cursor/config.yaml",C,"RESTORE_FROM_STANDARDS_DB",1,"agent-configuration.yaml"
"AgentQMS/standards/tier3-agents/gemini/config.yaml",C,"RESTORE_FROM_STANDARDS_DB",1,"agent-configuration.yaml"
"configs/_foundation/*.yaml",C,"RESTORE_FROM_ARCHIVE",1,"ocr-debugging.yaml"
"configs/hydra/*.yaml",C,"RESTORE_FROM_ARCHIVE",1,"ocr-debugging.yaml"
"configs/train.yaml",C,"RESTORE_FROM_STANDARDS_DB",2,"ocr-debugging.yaml;ocr-experiment.yaml"
"docs/index.md",C,"RESTORE_FROM_STANDARDS_DB",1,"documentation-update.yaml"
"ocr/core/analysis/*.py",C,"RESTORE_FROM_ARCHIVE",3,"ocr-information-extraction.yaml;ocr-layout-analysis.yaml;ocr-text-detection.yaml"
"ocr/core/evaluation/*.py",C,"RESTORE_FROM_ARCHIVE",1,"ocr-information-extraction.yaml"
"ocr/core/inference/pipeline.py",C,"RESTORE_FROM_STANDARDS_DB",4,"ocr-information-extraction.yaml;ocr-layout-analysis.yaml;ocr-text-detection.yaml;ocr-text-recognition.yaml"
"ocr/core/lightning/*.py",C,"RESTORE_FROM_ARCHIVE",1,"ocr-text-recognition.yaml"
"ocr/core/metrics/*.py",C,"RESTORE_FROM_ARCHIVE",2,"ocr-information-extraction.yaml;ocr-text-recognition.yaml"
"ocr/core/utils/*.py",C,"RESTORE_FROM_ARCHIVE",2,"ocr-layout-analysis.yaml;ocr-text-detection.yaml"
"ocr/features/detection/*.py",C,"RESTORE_FROM_ARCHIVE",1,"ocr-text-detection.yaml"
"ocr/features/kie/*.py",C,"RESTORE_FROM_ARCHIVE",1,"ocr-information-extraction.yaml"
"ocr/features/layout/*.py",C,"RESTORE_FROM_ARCHIVE",1,"ocr-layout-analysis.yaml"
"ocr/features/recognition/*.py",C,"RESTORE_FROM_ARCHIVE",1,"ocr-text-recognition.yaml"
"ocr/inference/pipeline.py",C,"RESTORE_FROM_STANDARDS_DB",2,"ocr-experiment.yaml;pipeline-development.yaml"
"ocr/models/",C,"RESTORE_FROM_STANDARDS_DB",1,"pipeline-development.yaml"
"ocr/postprocessing/",C,"RESTORE_FROM_STANDARDS_DB",1,"pipeline-development.yaml"
"ocr/preprocessing/",C,"RESTORE_FROM_STANDARDS_DB",1,"pipeline-development.yaml"
