   Building upstage-ocr-receipt-text-detection @ file:///workspaces/upstageailab-ocr-recsys-competition-ocr-2
Downloading onnxruntime (16.6MiB)
      Built upstage-ocr-receipt-text-detection @ file:///workspaces/upstageailab-ocr-recsys-competition-ocr-2
 Downloading onnxruntime
Installed 5 packages in 5.40s
import time: self [us] | cumulative | imported package
import time:       120 |        120 |   _io
import time:        28 |         28 |   marshal
import time:       237 |        237 |   posix
import time:       499 |        883 | _frozen_importlib_external
import time:       269 |        269 |   time
import time:       561 |        829 | zipimport
import time:        89 |         89 |     _codecs
import time:       282 |        371 |   codecs
import time:       250 |        250 |   encodings.aliases
import time:       414 |       1034 | encodings
import time:       115 |        115 | encodings.utf_8
import time:        52 |         52 | _signal
import time:        23 |         23 |     _abc
import time:       136 |        158 |   abc
import time:       143 |        300 | io
import time:        30 |         30 |       _stat
import time:       134 |        163 |     stat
import time:       604 |        604 |     _collections_abc
import time:        92 |         92 |       genericpath
import time:       169 |        260 |     posixpath
import time:       497 |       1523 |   os
import time:       110 |        110 |   _sitebuiltins
import time:      8753 |       8753 |   _virtualenv
import time:     10663 |      10663 |   _distutils_hack
import time:      5359 |       5359 |     apport_python_hook
import time:       220 |       5579 |   sitecustomize
import time:     79670 |     106294 | site
import time:       974 |        974 |       types
import time:      1549 |       2523 |     enum
import time:        91 |         91 |       _sre
import time:      1080 |       1080 |         sre_constants
import time:      1775 |       2855 |       sre_parse
import time:      1261 |       4205 |     sre_compile
import time:       112 |        112 |         itertools
import time:      1017 |       1017 |         keyword
import time:        72 |         72 |           _operator
import time:      1235 |       1307 |         operator
import time:      1113 |       1113 |         reprlib
import time:        70 |         70 |         _collections
import time:      1580 |       5196 |       collections
import time:        64 |         64 |       _functools
import time:      1637 |       6896 |     functools
import time:        74 |         74 |     _locale
import time:      1679 |       1679 |     copyreg
import time:      1232 |      16608 |   re
import time:      1723 |       1723 |         token
import time:      1821 |       3543 |       tokenize
import time:       972 |       4515 |     linecache
import time:      1220 |       5734 |   traceback
import time:      1284 |       1284 |   warnings
import time:      1053 |       1053 |     _weakrefset
import time:      1569 |       2621 |   weakref
import time:       132 |        132 |   collections.abc
import time:        39 |         39 |     _string
import time:      1362 |       1401 |   string
import time:      1485 |       1485 |   threading
import time:        62 |         62 |   atexit
import time:      6372 |      35695 | logging
import time:        73 |         73 | math
import time:      1802 |       1802 | signal
import time:        66 |         66 |       errno
import time:       132 |        132 |           _socket
import time:        88 |         88 |             select
import time:      1812 |       1899 |           selectors
import time:        70 |         70 |           array
import time:      3494 |       5593 |         socket
import time:       141 |        141 |             _struct
import time:      1453 |       1594 |           struct
import time:      1432 |       1432 |           _compat_pickle
import time:        94 |         94 |           _pickle
import time:      4090 |       4090 |               org
import time:        37 |       4126 |             org.python
import time:        10 |       4136 |           org.python.core
import time:      1743 |       8996 |         pickle
import time:        51 |         51 |             _heapq
import time:      1633 |       1683 |           heapq
import time:      1534 |       1534 |           _queue
import time:      1784 |       4999 |         queue
import time:      2415 |       2415 |               org
import time:        37 |       2451 |             org.python
import time:        18 |       2469 |           org.python.core
import time:      1234 |       3702 |         copy
import time:       704 |      23992 |       logging.handlers
import time:      1658 |       1658 |       socketserver
import time:      1740 |      27455 |     logging.config
import time:       705 |        705 |       fnmatch
import time:      3099 |       3099 |         _winapi
import time:      2709 |       2709 |         nt
import time:      2740 |       2740 |         nt
import time:      3015 |       3015 |         nt
import time:      4588 |       4588 |         nt
import time:      1271 |      17420 |       ntpath
import time:       856 |        856 |         urllib
import time:      2675 |       2675 |         ipaddress
import time:       775 |       4304 |       urllib.parse
import time:      1530 |      23958 |     pathlib
import time:       974 |        974 |       contextlib
import time:      2179 |       3152 |     typing
import time:     24021 |      24021 |         hydra._internal
import time:     61409 |      85429 |       hydra._internal.instantiate
import time:      1864 |       1864 |       textwrap
import time:       544 |        544 |                 _ast
import time:      1429 |       1972 |               ast
import time:       881 |        881 |                   _opcode
import time:      1064 |       1945 |                 opcode
import time:      1479 |       3423 |               dis
import time:      1432 |       1432 |                 importlib
import time:       570 |       2002 |               importlib.machinery
import time:      2561 |       9957 |             inspect
import time:      1361 |      11318 |           dataclasses
import time:     25521 |      25521 |             antlr4.Token
import time:     13658 |      13658 |             antlr4.InputStream
import time:     13745 |      13745 |             antlr4.FileStream
import time:     12495 |      12495 |             antlr4.StdinStream
import time:     22222 |      22222 |                 antlr4.error
import time:     21926 |      21926 |                       antlr4.tree
import time:     27271 |      49197 |                     antlr4.tree.Tree
import time:     13075 |      13075 |                       antlr4.Utils
import time:     20410 |      33484 |                     antlr4.tree.Trees
import time:     14752 |      97432 |                   antlr4.RuleContext
import time:     14278 |     111709 |                 antlr4.ParserRuleContext
import time:     15880 |      15880 |                   antlr4.error.ErrorListener
import time:     12418 |      28298 |                 antlr4.Recognizer
import time:     30685 |     192913 |               antlr4.error.Errors
import time:     12568 |     205480 |             antlr4.BufferedTokenStream
import time:     18301 |      18301 |                 antlr4.CommonTokenFactory
import time:     33743 |      33743 |                   antlr4.atn
import time:     11669 |      11669 |                       antlr4.IntervalSet
import time:     20385 |      20385 |                       antlr4.atn.ATNType
import time:     19614 |      19614 |                           antlr4.atn.SemanticContext
import time:     19602 |      39215 |                         antlr4.atn.Transition
import time:     18998 |      58212 |                       antlr4.atn.ATNState
import time:     14695 |     104960 |                     antlr4.atn.ATN
