import time: self [us] | cumulative | imported package
import time:       108 |        108 |   _io
import time:        25 |         25 |   marshal
import time:       228 |        228 |   posix
import time:       394 |        754 | _frozen_importlib_external
import time:        83 |         83 |   time
import time:       114 |        196 | zipimport
import time:        82 |         82 |     _codecs
import time:       332 |        414 |   codecs
import time:       274 |        274 |   encodings.aliases
import time:       340 |       1027 | encodings
import time:       118 |        118 | encodings.utf_8
import time:        51 |         51 | _signal
import time:        26 |         26 |     _abc
import time:       130 |        155 |   abc
import time:       155 |        309 | io
import time:        30 |         30 |       _stat
import time:       130 |        160 |     stat
import time:       765 |        765 |     _collections_abc
import time:        89 |         89 |       genericpath
import time:       174 |        262 |     posixpath
import time:       479 |       1663 |   os
import time:       100 |        100 |   _sitebuiltins
import time:      6858 |       6858 |   _virtualenv
import time:      6521 |       6521 |   _distutils_hack
import time:      4349 |       4349 |     apport_python_hook
import time:       183 |       4531 |   sitecustomize
import time:     56429 |      76101 | site
import time:       989 |        989 |       types
import time:      1800 |       2788 |     enum
import time:        79 |         79 |       _sre
import time:      1254 |       1254 |         sre_constants
import time:      2237 |       3490 |       sre_parse
import time:      1560 |       5129 |     sre_compile
import time:        76 |         76 |         itertools
import time:      1025 |       1025 |         keyword
import time:        51 |         51 |           _operator
import time:       994 |       1044 |         operator
import time:       949 |        949 |         reprlib
import time:        51 |         51 |         _collections
import time:      1281 |       4423 |       collections
import time:        40 |         40 |       _functools
import time:      1288 |       5750 |     functools
import time:        72 |         72 |     _locale
import time:      1119 |       1119 |     copyreg
import time:      1286 |      16141 |   re
import time:       876 |        876 |         token
import time:      1331 |       2206 |       tokenize
import time:       826 |       3031 |     linecache
import time:      1074 |       4105 |   traceback
import time:      1005 |       1005 |   warnings
import time:       972 |        972 |     _weakrefset
import time:      1441 |       2412 |   weakref
import time:       514 |        514 |   collections.abc
import time:        37 |         37 |     _string
import time:      1393 |       1429 |   string
import time:      1348 |       1348 |   threading
import time:        50 |         50 |   atexit
import time:      4733 |      31732 | logging
import time:        58 |         58 | math
import time:      1884 |       1884 | signal
import time:        64 |         64 |       errno
import time:       122 |        122 |           _socket
import time:        49 |         49 |             select
import time:      1163 |       1211 |           selectors
import time:        67 |         67 |           array
import time:      1979 |       3378 |         socket
import time:        63 |         63 |             _struct
import time:       971 |       1034 |           struct
import time:      1127 |       1127 |           _compat_pickle
import time:        81 |         81 |           _pickle
import time:      2234 |       2234 |               org
import time:        26 |       2259 |             org.python
import time:         9 |       2268 |           org.python.core
import time:      1631 |       6139 |         pickle
import time:        39 |         39 |             _heapq
import time:      1225 |       1264 |           heapq
import time:      1400 |       1400 |           _queue
import time:      1303 |       3966 |         queue
import time:      2639 |       2639 |               org
