import time: self [us] | cumulative | imported package
import time:       134 |        134 |   _io
import time:        31 |         31 |   marshal
import time:       264 |        264 |   posix
import time:       568 |        996 | _frozen_importlib_external
import time:       107 |        107 |   time
import time:       129 |        235 | zipimport
import time:       109 |        109 |     _codecs
import time:       376 |        484 |   codecs
import time:       340 |        340 |   encodings.aliases
import time:       389 |       1213 | encodings
import time:       135 |        135 | encodings.utf_8
import time:        55 |         55 | _signal
import time:        24 |         24 |     _abc
import time:       139 |        163 |   abc
import time:       152 |        314 | io
import time:        31 |         31 |       _stat
import time:       139 |        169 |     stat
import time:       654 |        654 |     _collections_abc
import time:        93 |         93 |       genericpath
import time:       173 |        266 |     posixpath
import time:       518 |       1605 |   os
import time:       114 |        114 |   _sitebuiltins
import time:      6319 |       6319 |   _virtualenv
import time:      7929 |       7929 |   _distutils_hack
import time:      2803 |       2803 |     apport_python_hook
import time:       269 |       3072 |   sitecustomize
import time:     47178 |      66214 | site
import time:       751 |        751 |       types
import time:      1202 |       1952 |     enum
import time:        57 |         57 |       _sre
import time:       711 |        711 |         sre_constants
import time:      1236 |       1947 |       sre_parse
import time:       929 |       2932 |     sre_compile
import time:        71 |         71 |         itertools
import time:       634 |        634 |         keyword
import time:        58 |         58 |           _operator
import time:      1398 |       1455 |         operator
import time:      1469 |       1469 |         reprlib
import time:        68 |         68 |         _collections
import time:      1062 |       4756 |       collections
import time:        49 |         49 |       _functools
import time:      1097 |       5900 |     functools
import time:        57 |         57 |     _locale
import time:       861 |        861 |     copyreg
import time:       964 |      12664 |   re
import time:       702 |        702 |         token
import time:      1246 |       1947 |       tokenize
import time:       707 |       2654 |     linecache
import time:       870 |       3524 |   traceback
import time:       880 |        880 |   warnings
import time:       647 |        647 |     _weakrefset
import time:       948 |       1594 |   weakref
import time:       123 |        123 |   collections.abc
import time:        35 |         35 |     _string
import time:      1054 |       1088 |   string
import time:      1124 |       1124 |   threading
import time:        40 |         40 |   atexit
import time:      5058 |      26090 | logging
import time:        41 |         41 | math
import time:       972 |        972 |       signal
import time:       225 |       1196 |     multiprocessing.process
import time:        63 |         63 |           _struct
import time:      1066 |       1128 |         struct
import time:      1065 |       1065 |         _compat_pickle
import time:        90 |         90 |         _pickle
import time:      2063 |       2063 |             org
import time:        25 |       2088 |           org.python
import time:        10 |       2097 |         org.python.core
import time:      3158 |       7536 |       pickle
import time:       126 |        126 |         _socket
import time:        50 |         50 |           select
import time:       907 |        957 |         selectors
import time:        48 |         48 |         errno
import time:       116 |        116 |         array
import time:      1746 |       2991 |       socket
import time:       265 |      10791 |     multiprocessing.reduction
import time:       404 |      12390 |   multiprocessing.context
import time:       935 |      13325 | multiprocessing
import time:        37 |         37 |             _heapq
import time:       670 |        706 |           heapq
import time:       905 |        905 |           _queue
import time:       708 |       2318 |         queue
import time:      1825 |       1825 |               org
import time:        28 |       1852 |             org.python
import time:        11 |       1862 |           org.python.core
import time:       762 |       2624 |         copy
import time:       391 |       5332 |       logging.handlers
import time:      1025 |       1025 |       socketserver
import time:       948 |       7304 |     logging.config
import time:       591 |        591 |       fnmatch
import time:      4375 |       4375 |         _winapi
import time:      3350 |       3350 |         nt
import time:      2852 |       2852 |         nt
import time:      1903 |       1903 |         nt
import time:      3691 |       3691 |         nt
import time:       954 |      17122 |       ntpath
import time:      1001 |       1001 |         urllib
import time:      2603 |       2603 |         ipaddress
import time:       764 |       4368 |       urllib.parse
import time:      1189 |      23269 |     pathlib
import time:       965 |        965 |       contextlib
import time:      3000 |       3965 |     typing
import time:     27999 |      27999 |         hydra._internal
import time:     34346 |      62344 |       hydra._internal.instantiate
import time:      1300 |       1300 |       textwrap
import time:       534 |        534 |                 _ast
import time:      1237 |       1770 |               ast
import time:       651 |        651 |                   _opcode
import time:       736 |       1386 |                 opcode
import time:      1053 |       2439 |               dis
import time:       959 |        959 |                 importlib
import time:       163 |       1122 |               importlib.machinery
import time:      1591 |       6920 |             inspect
import time:      1008 |       7928 |           dataclasses
import time:     15287 |      15287 |             antlr4.Token
import time:     23399 |      23399 |             antlr4.InputStream
import time:     31037 |      31037 |             antlr4.FileStream
import time:      9033 |       9033 |             antlr4.StdinStream
import time:     39516 |      39516 |                 antlr4.error
import time:     17572 |      17572 |                       antlr4.tree
import time:     18527 |      36098 |                     antlr4.tree.Tree
import time:      8826 |       8826 |                       antlr4.Utils
import time:     11462 |      20287 |                     antlr4.tree.Trees
import time:     11159 |      67543 |                   antlr4.RuleContext
import time:     27488 |      95031 |                 antlr4.ParserRuleContext
import time:     11807 |      11807 |                   antlr4.error.ErrorListener
import time:      9400 |      21207 |                 antlr4.Recognizer
import time:     65585 |     221338 |               antlr4.error.Errors
import time:     12668 |     234006 |             antlr4.BufferedTokenStream
import time:     11029 |      11029 |                 antlr4.CommonTokenFactory
import time:     16569 |      16569 |                   antlr4.atn
import time:      9355 |       9355 |                       antlr4.IntervalSet
import time:     11379 |      11379 |                       antlr4.atn.ATNType
import time:     12525 |      12525 |                           antlr4.atn.SemanticContext
import time:     11065 |      23589 |                         antlr4.atn.Transition
import time:     11682 |      35270 |                       antlr4.atn.ATNState
import time:     11209 |      67212 |                     antlr4.atn.ATN
import time:      9177 |      76389 |                   antlr4.PredictionContext
import time:     14903 |      14903 |                       antlr4.atn.LexerAction
import time:     10980 |      25882 |                     antlr4.atn.LexerActionExecutor
import time:     11065 |      36947 |                   antlr4.atn.ATNConfig
import time:     10381 |      10381 |                     antlr4.atn.ATNConfigSet
import time:     17009 |      17009 |                       antlr4.dfa
import time:     23214 |      40223 |                     antlr4.dfa.DFAState
import time:     11751 |      62354 |                   antlr4.atn.ATNSimulator
import time:     25819 |     218076 |                 antlr4.atn.LexerATNSimulator
import time:     17109 |     246213 |               antlr4.Lexer
import time:     10268 |     256481 |             antlr4.CommonTokenStream
import time:     12235 |      12235 |               antlr4.error.ErrorStrategy
import time:        51 |         51 |                       fcntl
import time:      3295 |       3295 |                       msvcrt
import time:        51 |         51 |                       _posixsubprocess
import time:      1015 |       4411 |                     subprocess
import time:      1961 |       6371 |                   platform
import time:       895 |        895 |                   _uuid
import time:       854 |       8119 |                 uuid
import time:     20776 |      20776 |                 antlr4.atn.ATNDeserializationOptions
import time:     10959 |      39852 |               antlr4.atn.ATNDeserializer
import time:     15239 |      15239 |                 antlr4.ListTokenSource
import time:     16836 |      16836 |                 antlr4.tree.Chunk
import time:     11204 |      11204 |                 antlr4.tree.RuleTagToken
import time:     12264 |      12264 |                 antlr4.tree.TokenTagToken
import time:     27856 |      83397 |               antlr4.tree.ParseTreePatternMatcher
import time:     13159 |     148642 |             antlr4.Parser
import time:     11659 |      11659 |             antlr4.dfa.DFA
import time:     44718 |      44718 |               antlr4.atn.PredictionMode
import time:     10301 |      55018 |             antlr4.atn.ParserATNSimulator
import time:     15871 |      15871 |             antlr4.error.DiagnosticErrorListener
