   Building upstage-ocr-receipt-text-detection @ file:///workspaces/upstageailab-ocr-recsys-competition-ocr-2
      Built upstage-ocr-receipt-text-detection @ file:///workspaces/upstageailab-ocr-recsys-competition-ocr-2
Uninstalled 1 package in 30ms
Installed 1 package in 92ms
import time: self [us] | cumulative | imported package
import time:       125 |        125 |   _io
import time:        27 |         27 |   marshal
import time:       249 |        249 |   posix
import time:       452 |        852 | _frozen_importlib_external
import time:        84 |         84 |   time
import time:       118 |        202 | zipimport
import time:       109 |        109 |     _codecs
import time:       328 |        436 |   codecs
import time:       266 |        266 |   encodings.aliases
import time:       334 |       1036 | encodings
import time:       111 |        111 | encodings.utf_8
import time:        50 |         50 | _signal
import time:        24 |         24 |     _abc
import time:       125 |        148 |   abc
import time:       146 |        294 | io
import time:        30 |         30 |       _stat
import time:       124 |        154 |     stat
import time:       643 |        643 |     _collections_abc
import time:        81 |         81 |       genericpath
import time:       151 |        232 |     posixpath
import time:       463 |       1490 |   os
import time:       101 |        101 |   _sitebuiltins
import time:      7857 |       7857 |   _virtualenv
import time:      8291 |       8291 |   _distutils_hack
import time:      3849 |       3849 |     apport_python_hook
import time:       197 |       4046 |   sitecustomize
import time:     64211 |      85992 | site
import time:       668 |        668 |       types
import time:       980 |       1647 |     enum
import time:        58 |         58 |       _sre
import time:       731 |        731 |         sre_constants
import time:      1470 |       2201 |       sre_parse
import time:       794 |       3052 |     sre_compile
import time:        83 |         83 |         itertools
import time:       891 |        891 |         keyword
import time:        55 |         55 |           _operator
import time:       918 |        973 |         operator
import time:       720 |        720 |         reprlib
import time:        54 |         54 |         _collections
import time:      1279 |       3998 |       collections
import time:        44 |         44 |       _functools
import time:      1769 |       5810 |     functools
import time:        52 |         52 |     _locale
import time:       589 |        589 |     copyreg
import time:       939 |      12086 |   re
import time:       560 |        560 |         token
import time:      1086 |       1645 |       tokenize
import time:       602 |       2246 |     linecache
import time:       877 |       3123 |   traceback
import time:       769 |        769 |   warnings
import time:       639 |        639 |     _weakrefset
import time:       877 |       1515 |   weakref
import time:       130 |        130 |   collections.abc
import time:        32 |         32 |     _string
import time:      1143 |       1174 |   string
import time:       955 |        955 |   threading
import time:        34 |         34 |   atexit
import time:      3837 |      23620 | logging
import time:        43 |         43 | math
import time:      1937 |       1937 | signal
import time:        71 |         71 |       errno
import time:       124 |        124 |           _socket
import time:        49 |         49 |             select
import time:      1087 |       1136 |           selectors
import time:        63 |         63 |           array
import time:      1947 |       3269 |         socket
import time:        57 |         57 |             _struct
import time:       666 |        723 |           struct
import time:       961 |        961 |           _compat_pickle
